"Line1","Dominants"
"GPID_00019",2.679849
"GPID_00004",3.142192
"GPID_00036",2.794631
"GPID_00046",2.800782
"GPID_00011",2.410357
"GPID_00025",3.060202
"GPID_00073",2.464123
"GPID_00006",2.281307
"GPID_00063",2.918262
"GPID_00028",2.812747
"GPID_00037",2.273438
"GPID_00065",2.820336
"GPID_00074",2.294977
"GPID_00070",2.693473
"GPID_00013",2.957178
"GPID_00010",2.460973
"GPID_00009",2.807728
"GPID_00007",2.54896
"GPID_00042",2.996418
"GPID_00039",2.087203
"GPID_00098",2.764164
"GPID_00095",2.051558
"GPID_00083",2.931423
"GPID_00096",2.475383
"GPID_00106",2.400082
"GPID_00103",2.938794
"GPID_00094",2.860876
"GPID_00109",3.25167
"GPID_00081",2.560185
"GPID_00107",2.785136
"GPID_00102",2.70502
"GPID_00108",2.892588
"GPID_00093",2.481968
"GPID_00092",2.714917
"GPID_00091",2.670723
"GPID_00090",2.690153
"GPID_00111",3.177417
"GPID_00089",3.136405
"GPID_00088",2.85573
"GPID_00087",2.298323
"GPID_00084",2.636981
"GPID_00105",3.004344
"GPID_00104",2.814101
"GPID_00017",2.663671
"GPID_00018",2.745104
"GPID_00022",2.764187
"GPID_00002",2.582542
"GPID_00005",2.318792
"GPID_00008",2.205486
"GPID_00015",2.443107
"GPID_00016",3.071407
"GPID_00024",2.854068
"GPID_00026",3.076701
"GPID_00027",2.829956
"GPID_00032",2.852728
"GPID_00072",3.051872
"GPID_00053",2.597321
"GPID_00148",3.017959
"GPID_00151",2.505884
"GPID_00158",2.675902
"GPID_00159",2.556214
"GPID_00163",2.735963
"GPID_00166",3.035839
"GPID_00167",2.615314
"GPID_00169",2.795236
"GPID_00171",2.945239
"GPID_00172",2.989944
"GPID_00174",2.07686
"GPID_00175",2.447255
"GPID_00176",2.781686
"GPID_00178",2.711241
"GPID_00179",2.552667
"GPID_00180",2.540409
"GPID_00183",3.192619
"GPID_00185",2.740484
"GPID_00189",2.450785
"GPID_00190",2.804568
"GPID_00191",2.693118
"GPID_00193",2.673885
"GPID_00195",3.134625
"GPID_00197",2.557279
"GPID_00198",3.093203
"GPID_00147",2.265123
"GPID_00149",2.751451
"GPID_00153",3.084597
"GPID_00155",3.222236
"GPID_00115",3.153045
"GPID_00221",2.935011
"GPID_00213",3.060655
"GPID_00211",2.808507
"GPID_00208",3.207899
"GPID_00204",2.730783
"GPID_00216",2.965971
"GPID_00219",3.228238
"GPID_00215",2.96475
"GPID_00220",2.828157
"GPID_00223",3.062634
"GPID_00209",3.035676
"GPID_00205",2.672548
"GPID_00222",3.032182
"GPID_00218",2.074547
"GPID_00214",2.731639
"GPID_00122",2.999692
"GPID_00121",2.797018
"GPID_00124",2.412542
"GPID_00114",2.624816
"GPID_00119",2.353016
"GPID_00118",2.99698
"GPID_00112",2.829091
"GPID_00135",2.713836
"GPID_00120",2.545872
"GPID_00123",2.187125
"GPID_00113",2.878242
"GPID_00130",2.900598
"GPID_00136",2.737018
"GPID_00132",2.681101
"GPID_00126",2.660892
"GPID_00127",2.45908
"GPID_00128",2.367232
"GPID_00129",3.027335
"GPID_00100",2.731829
"GPID_00085",3.140353
"GPID_00001",2.702829
"GPID_00014",3.223941
"GPID_00062",3.040393
"GPID_00064",3.169292
"GPID_00076",2.136869
"GPID_00082",2.115263
"GPID_00086",2.858252
"GPID_00068",2.858121
"GPID_00030",2.743648
"GPID_00077",3.043271
"GPID_00232",2.65363
"GPID_00235",3.226267
"GPID_00228",2.477782
"GPID_00225",3.024403
"GPID_00140",3.235634
"GPID_00181",2.557006
"GPID_00141",3.245553
"GPID_00137",3.365939
"GPID_00165",2.887028
"GPID_00139",2.657355
"GPID_00059",3.203487
"GPID_00182",3.059161
"GPID_00168",2.6391
"GPID_00138",2.882356
"GPID_00051",3.0308
"GPID_00058",2.943559
"GPID_00236",1.982104
"GPID_00146",1.997896
"GPID_00237",2.732192
"GPID_00052",2.80417
"GPID_00231",2.845845
"GPID_00173",2.766486
"GPID_00230",2.662654
"GPID_00150",2.7678
"GPID_00131",2.302465
"GPID_00031",1.925464
"GPID_00184",2.63238
"GPID_00186",2.539234
"GPID_00187",2.949371
"GPID_00202",2.573478
"GPID_00203",2.984914
"GPID_00143",2.53828
"GPID_00152",2.875607
"GPID_00156",2.952308
"GPID_00160",2.115813
"GPID_00170",2.819817
"GPID_00177",2.666476
"GPID_00239",2.834563
"GPID_00240",2.537062
"GPID_00241",3.366495
